Number,Theme,Subtheme,Year,Name,Owned,Wanted,Retail
76210-1,Marvel Super Heroes,Age of Ultron,2022,Hulkbuster,1,0,$549.99
42206-1,Technic,Licensed,2025,Oracle Red Bull Racing RB20 F1 Car,1,0,$239.99
42171-1,Technic,Licensed,2024,Mercedes F1 Car,1,0,$219.99
76209-1,Marvel Super Heroes,,2022,"Thor's Hammer",1,0,$99.99
76298-1,Marvel Super Heroes,Spider-Man,2024,Spider-Man Buildable Figure,1,0,$34.99
76206-1,Marvel Super Heroes,Age of Ultron,2022,Iron Man Figure,1,0,$39.99
60445-1,City,Formula 1,2025,F1 Truck with RB20 & AMR24 F1 Cars,1,0,$99.99
77243-1,Speed Champions,Formula 1,2025,Oracle Red Bull Racing RB20 F1 Race Car,1,0,$26.99
77242-1,Speed Champions,Formula 1,2025,Ferrari SF-24 F1 Race Car,1,0,$26.99
76105-1,Marvel Super Heroes,Age of Ultron,2018,The Hulkbuster Ultron Edition,1,0,$119.99
76104-1,Marvel Super Heroes,Avengers Infinity War,2018,The Hulkbuster Smash-Up,1,0,$29.99
76313-1,Marvel Super Heroes,,2025,MARVEL Logo,1,0,$99.99
76315-1,Marvel Super Heroes,Iron Man 3,2025,"Iron Man's Hall of Armor",1,0,$54.99
76216-1,Marvel Super Heroes,Iron Man 2,2022,Iron Man Armoury,1,0,$89.99
4529-1,Marvel Super Heroes,Constraction,2012,Iron Man,1,0,$14.99
76307-1,Marvel Super Heroes,Avengers,2025,Iron Man Mech vs. Ultron,1,0,$14.99
76140-1,Marvel Super Heroes,Avengers,2020,Iron Man Mech,1,0,$9.99
76144-1,Marvel Super Heroes,Avengers Endgame,2020,Hulk Helicopter Drop,1,0,$59.99
76029-1,Marvel Super Heroes,Age of Ultron,2015,Iron Man vs. Ultron,1,0,$12.99
76125-1,Marvel Super Heroes,Avengers Endgame,2019,Iron Man Hall of Armour,1,0,$59.99
76031-1,Marvel Super Heroes,Age of Ultron,2015,The Hulk Buster Smash,1,0,$29.99
30452-1,Marvel Super Heroes,Avengers Endgame,2019,Iron Man and Dum-E,1,0,$3.99
30163-1,Marvel Super Heroes,Avengers,2012,Thor and the Cosmic Cube,1,0,$4.99
30707-1,Marvel Super Heroes,Spider-Man,2025,"Venom's Museum Heist",1,0,$4.99
76288-1,Marvel Super Heroes,Age of Ultron,2024,Iron Man & Iron Legion vs. Hydra Soldier,1,0,$21.99
242406-1,Marvel Super Heroes,Magazine Gifts,2024,Iron Man,1,0,$0.00
76167-1,Marvel Super Heroes,Avengers,2020,Iron Man Armoury,1,0,$29.99
76287-1,Marvel Super Heroes,Avengers,2024,Iron Man with Bike and The Hulk,1,0,$14.99
76327-1,Marvel Super Heroes,Busts,2025,Iron Man MK4 Bust,1,0,$59.99
31152-1,Creator,3 in 1,2024,Space Astronaut,1,0,$54.99
76107-1,Marvel Super Heroes,Avengers Infinity War,2018,Thanos Ultimate Battle,1,0,$69.99
76166-1,Marvel Super Heroes,Avengers,2020,Avengers Tower Battle,1,0,$89.99
76102-1,Marvel Super Heroes,Avengers Infinity War,2018,"Thor's Weapon Quest",1,0,$19.99
76194-1,Marvel Super Heroes,What If?,2021,"Tony Stark's Sakaarian Iron Man",1,0,$34.99
76316-1,Marvel Super Heroes,,2025,Fantastic Four vs. Galactus Construction Figure,1,0,$59.99
42197-1,Technic,,2025,Backhoe Loader,1,0,$9.99
76201-1,Marvel Super Heroes,What If?,2021,Captain Carter & The Hydra Stomper,1,0,$29.99
5002946-1,Marvel Super Heroes,Iron Man 3,2016,Silver Centurion,1,0,$0.00
76124-1,Marvel Super Heroes,Avengers Endgame,2019,War Machine Buster,1,0,$34.99
10283-1,Icons,Space,2021,Space Shuttle Discovery,1,0,$199.99
41604-1,BrickHeadz,Marvel Super Heroes,2018,Iron Man MK50,1,0,$9.99
40669-1,BrickHeadz,Marvel Super Heroes,2024,Iron Man MK5,1,0,$9.99
41590-1,BrickHeadz,Marvel Super Heroes,2017,Iron Man,1,0,$9.99
31199-1,LEGO Art,,2020,Marvel Studios Iron Man,1,0,$119.99
41592-1,BrickHeadz,Marvel Super Heroes,2017,The Hulk,1,0,$9.99
40554-1,BrickHeadz,Avatar,2022,Jake Sully & his Avatar,1,0,$19.99
40760-1,BrickHeadz,Fortnite,2025,Adventure Peely & Cuddle Team Leader,1,0,$19.99
76269-1,Marvel Super Heroes,Avengers,2023,Avengers Tower,1,0,$499.99
76255-1,Marvel Super Heroes,Guardians of the Galaxy,2023,"The New Guardians' Ship",1,0,$99.99
76131-1,Marvel Super Heroes,Avengers Endgame,2019,Avengers Compound Battle,1,0,$99.99
76126-1,Marvel Super Heroes,Avengers Endgame,2019,Avengers Ultimate Quinjet,1,0,$79.99
40334-1,Marvel Super Heroes,Avengers,2019,Avengers Tower,1,0,$0.00
76218-1,Marvel Super Heroes,Doctor Strange in the Multiverse of Madness,2022,Sanctum Sanctorum,1,0,$249.99
43269-1,Disney,One Hundred and One Dalmatians,2025,101 Dalmatians Puppy,1,0,$149.99
76290-1,Marvel Super Heroes,The Avengers,2024,The Avengers vs. The Leviathan,1,0,$49.99
76320-1,Marvel Super Heroes,Iron Man 2,2025,Iron Man & War Machine vs. Hammer Drones,1,0,$22.99
76208-1,Marvel Super Heroes,Thor Love and Thunder,2022,The Goat Boat,1,0,$59.99
10338-1,Icons,Transformers,2024,Bumblebee,1,0,$89.99
76042-1,Marvel Super Heroes,,2015,SHIELD Helicarrier,1,0,$349.99
76247-1,Marvel Super Heroes,Avengers Infinity War,2023,The Hulkbuster: The Battle of Wakanda,2,0,$49.99
76190-1,Marvel Super Heroes,Iron Man,2021,Iron Man: Iron Monger Mayhem,2,0,$39.99
76008-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man vs. The Mandarin: Ultimate Showdown,0,1,$12.99
76165-1,Marvel Super Heroes,Avengers,2020,Iron Man,0,1,$59.99
40535-1,Brick Sketches,Marvel Super Heroes,2022,Iron Man,0,1,$16.99
76263-1,Marvel Super Heroes,Avengers Infinity War,2023,Iron Man Hulkbuster vs. Thanos,0,1,$26.99
76433-1,Harry Potter,Chamber of Secrets,2024,Mandrake,0,1,$69.99
sh0229,Marvel Super Heroes,,2016,Space Iron Man,1,0,0
sh0213,Marvel Super Heroes,,2016,Scuba Iron Man,1,0,0
col337,Collectible Minifigures,,,"Minifig col337",1,0,0
col336,Collectible Minifigures,,,"Minifig col336",1,0,0
col335,Collectible Minifigures,,,"Minifig col335",1,0,0
col334,Collectible Minifigures,,,"Minifig col334",1,0,0
sh0362,Marvel Super Heroes,,,"Minifig sh0362",1,0,0
sh0405,Marvel Super Heroes,,,"Minifig sh0405",1,0,0
