Parent Set ID,Minifig ID,Name,Qty In Set,Unit Market Price,Total Value
75192,sw0661,,1,NEW,0.00,0.00
75192,sw0661,,1,USED,0.00,0.00
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,0.00,0.00
75192,sw0532,,1,USED,0.00,0.00
75192,sw0676,,1,NEW,0.00,0.00
75192,sw0676,,1,USED,0.00,0.00
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.40,32.40
75192,sw0878,,1,NEW,70.35,70.35
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,14.49,14.49
75192,sw0677,,1,USED,9.33,9.33
75192,sw0661,,1,NEW,0.00,0.00
75192,sw0661,,1,USED,0.00,0.00
75192,sw0700,,1,NEW,0.00,0.00
75192,sw0700,,1,USED,0.00,0.00
75192,sw0532,,1,NEW,12.74,12.74
75192,sw0532,,1,USED,9.52,9.52
75192,sw0676,,1,NEW,0.00,0.00
75192,sw0676,,1,USED,0.00,0.00
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,1,NEW,44.95,44.95
75192,sw0841,,1,USED,32.40,32.40
75192,sw0878,,1,NEW,70.35,70.35
75192,sw0878,,1,USED,58.57,58.57
75192,sw0677,,1,NEW,0.00,0.00
75192,sw0677,,1,USED,0.00,0.00
75192,sw0661,,1,NEW,12.38,12.38
75192,sw0661,,1,USED,7.93,7.93
75192,sw0700,,1,NEW,15.51,15.51
75192,sw0700,,1,USED,10.68,10.68
75192,sw0532,,1,NEW,0.00,0.00
75192,sw0532,,1,USED,0.00,0.00
75192,sw0676,,1,NEW,0.00,0.00
75192,sw0676,,1,USED,0.00,0.00
75192,sw0879,,1,NEW,74.92,74.92
75192,sw0879,,1,USED,64.13,64.13
75192,sw0841,,7,NEW,44.95,314.65
75192,sw0841,,7,USED,32.40,226.80
