ID,Name,Type,Year,Status,Market Price,Minifig Sum Value,Profit vs Minifigs,Sniper Rating,POV Rating
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,0.00,-2230.07,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,0.0,-2230.07,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,0.0,-2230.07,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,220.22,-2009.8500000000001,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,202.96,-2027.1100000000001,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,487.81000000000006,-1742.2600000000002,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,256.56,-1973.5100000000002,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,256.56,-1973.5100000000002,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,256.73,-1973.3400000000001,RISKY,MEDIUM
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,256.73,-1973.3400000000001,RISKY,MEDIUM
sw0661,BB-8 (Small Photoreceptor and Small Black Circle),M,,UNKNOWN,12.38,0.0,-12.38,EXCELLENT,LOW
sw0661,BB-8 (Small Photoreceptor and Small Black Circle),M,,UNKNOWN,12.38,0.0,-12.38,EXCELLENT,LOW
sw0661,BB-8 (Small Photoreceptor and Small Black Circle),M,,UNKNOWN,12.38,0.0,-12.38,EXCELLENT,LOW
sh0213,Scuba Iron Man,M,2016,RETIRED,118.28,0.0,-118.28,GREAT INVEST,LOW
sh0229,Space Iron Man,M,2016,RETIRED,252.63,0.0,-252.63,OVERPRICED,LOW
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76165,Iron Man,S,2020,RETIRED,392.31,0.0,-392.31,RISKY,LOW
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76165,Iron Man,S,2020,RETIRED,392.31,0.0,-392.31,RISKY,LOW
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76165,Iron Man,S,2020,RETIRED,392.31,0.0,-392.31,RISKY,LOW
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76165,Iron Man,S,2020,RETIRED,392.31,0.0,-392.31,RISKY,LOW
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76165,Iron Man,S,2020,RETIRED,392.31,0.0,-392.31,RISKY,LOW
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76165,Iron Man,S,2020,RETIRED,392.31,0.0,-392.31,RISKY,LOW
76269,Avengers Tower,S,2023,EOL WATCH,1273.65,918.7699999999998,-354.88000000000034,GREAT INVEST,MEDIUM
sh0932,"Hulk - Giant, Dark Bluish Gray Pants, Smile",M,2023,EOL WATCH,82.12,0.0,-82.12,RISKY,LOW
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,256.73,-1973.3400000000001,IRRELEVANT,MEDIUM
76255,The New Guardians' Ship,S,2023,EOL WATCH,217.78,132.09,-85.69,EXCELLENT,HIGH
75192,Millennium Falcon - UCS {2nd edition},S,2017,RETIRED,2230.07,181.8,-2048.27,IRRELEVANT,MEDIUM
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
40535,Iron Man,S,2022,EOL WATCH,47.63,0.0,-47.63,EXCELLENT,HIGH
76255,The New Guardians' Ship,S,2023,EOL WATCH,217.78,132.09,-85.69,EXCELLENT,HIGH
76255,The New Guardians' Ship,S,2023,EOL WATCH,217.78,132.09,-85.69,EXCELLENT,HIGH
76255,The New Guardians' Ship,S,2023,EOL WATCH,217.78,132.09,-85.69,EXCELLENT,HIGH
sh0232,Silver Centurion (Iron Man - Mark 33 Armor),M,2016,RETIRED,319.85,0.0,-319.85,IRRELEVANT,LOW
sh0213,Scuba Iron Man,M,2016,RETIRED,118.28,0.0,-118.28,GREAT INVEST,LOW
sh0229,Space Iron Man,M,2016,RETIRED,252.63,0.0,-252.63,IRRELEVANT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,226.19,244.72,18.53,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,0.0,-211.82,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.14999999999998,-40.670000000000016,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,,UNKNOWN,211.82,289.33000000000004,77.51000000000005,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,226.19,257.93,31.74000000000001,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,226.19,171.07,-55.120000000000005,EXCELLENT,LOW
76031,The Hulk Buster Smash,S,2015,RETIRED,211.82,171.07,-40.75,EXCELLENT,LOW
